"","iso3","g.whoregion","year","country","inc.num","inc.num.lo","inc.num.hi","inc.num.f","inc.num.f.lo","inc.num.f.hi","inc.num.m","inc.num.m.lo","inc.num.m.hi","inc.num.15plus","inc.num.15plus.lo","inc.num.15plus.hi","inc.num.15plus.f","inc.num.15plus.f.lo","inc.num.15plus.f.hi","inc.num.15plus.m","inc.num.15plus.m.lo","inc.num.15plus.m.hi","inc.num.014","inc.num.014.lo","inc.num.014.hi","inc.num.014.f","inc.num.014.f.lo","inc.num.014.f.hi","inc.num.014.m","inc.num.014.m.lo","inc.num.014.m.hi","e.pop.m014","e.pop.f014","e.pop.014","e.pop.m15plus","e.pop.f15plus","e.pop.15plus","e.pop.f","e.pop.m","e.pop.num"
"1","ABW","AMR",2015,"Aruba",12.8356681642023,10.9488249440646,14.7225113843401,7.45354573317208,6.3022268790068,8.60486458733736,5.38212243103027,4.23027535167103,6.53396951038951,11.8406681641998,10.8281235478301,12.8532127805695,6.45854573316951,5.37634988530504,7.54074158103397,5.38212243103027,4.23027535167103,6.53396951038951,0.995000000002572,0.856753987400942,1.1332460126042,0.995000000002572,0.925876993701757,1.06412300630339,0,0,0,9702,9348,19050,39673,45166,84839,54514,49375,103889
"2","AFG","EMR",2015,"Afghanistan",61392.518058873,37326.6509797948,85458.3851379512,33426.7278786043,20619.6348504724,46233.8209067363,27965.7901802686,18647.0118485135,37284.5685120238,53642.2958198796,40188.5375520173,67096.054087742,29647.8876946938,19090.3818826737,40205.3935067138,23994.4081251859,16333.1547690081,31655.6614813636,7750.22223899333,4908.57278234686,10591.8716956398,3778.84018391056,1529.25296779863,6028.42740002249,3971.38205508277,2313.85707950537,5628.90703066016,7346792,6978540,14325332,9426912,8774318,18201230,15752858,16773704,32526562
"3","AGO","AFR",2015,"Angola",92658.2975914394,56336.2449355952,128980.350247284,39500.6384803588,19299.4741625891,59701.8027981285,53157.6591110807,36191.0689975112,70124.2492246501,82509.1008035834,62589.8370776453,102428.364529521,33761.7091868864,16199.9079379026,51323.5104358703,48747.391616697,33543.0528446673,63951.7303887266,10149.196787856,6632.72199182418,13665.6715838879,5738.92929347232,3099.56622468645,8378.29236225819,4410.26749438372,2648.01615284385,6172.51883592359,5985706,5937375,11923081,6430486,6668407,13098893,12605782,12416192,25021974
"4","AIA","AMR",2015,"Anguilla",3.14072747831543,1.90956230681578,4.37189264981508,3.14072747831543,2.83293618544052,3.44851877119035,0,0,0,3.14072747831543,2.52514489256561,3.75631006406526,3.14072747831543,2.83293618544052,3.44851877119035,0,0,0,0,0,0,0,0,0,0,0,0,1871,1792,3663,5370,5581,10951,7373,7241,14614
"5","ALB","EUR",2015,"Albania",545.828702075313,461.165457752616,630.49194639801,171.598412137565,97.0927076442091,246.104116630921,374.230289937748,288.158296855038,460.302283020458,495.750031841388,446.549145099155,544.950918583621,153.387984776913,91.1416714585052,215.634298095322,342.362047064475,267.070307169891,417.653786959058,50.0786702339247,36.3401410721561,63.8171993956934,18.2104273606515,5.95103618570389,30.4698185355992,31.8682428732732,21.0879896851465,42.6484960613998,278904,258320,537224,1157916,1201539,2359455,1459859,1436820,2896679
"6","AND","EUR",2015,"Andorra",4.6,3.9238,5.2762,1.53333318,1.04311562612928,2.02355073387072,3.06666682,2.42433171225855,3.70900192774144,4.6,4.2619,4.9381,1.53333318,1.04311562612928,2.02355073387072,3.06666682,2.42433171225855,3.70900192774144,0,0,0,0,0,0,0,0,0,5257,4966,10223,29103,31146,60249,36112,34360,70473
"7","ARE","EMR",2015,"United Arab Emirates",143.746988607697,87.3981690734799,200.095808141915,58.0786093503377,28.3759995188984,87.781219181777,85.6683792573595,59.7655000950611,111.571258419658,134.494047347375,104.543660669109,164.444434025641,51.9099815350249,24.6506732105766,79.1692898594731,82.5840658123501,58.0158358417195,107.152295782981,9.25294126032224,5.70098743800793,12.8048950826365,6.16862781531287,3.72532630832182,8.61192932230392,3.08431344500937,1.74966425334158,4.41896263667716,652323,623926,1276249,6055933,1824781,7880714,2448707,6708256,9156963
"8","ARG","AMR",2015,"Argentina",11041.15,9418.10095,12664.19905,4872.38725666019,3603.16883174148,6141.6056815789,6168.76274333981,4785.34377786637,7552.18170881325,10158.9780157854,9232.95570433076,11085.0003272401,4434.03529196638,3351.72413384523,5516.34645008753,5724.94272381904,4486.3427190314,6963.54272860669,882.171984214577,653.176411305254,1111.1675571239,438.351964693811,251.444697896251,625.25923149137,443.820019520766,299.001058834971,588.638980206562,5563359,5375144,10938503,15681343,16796909,32478252,22172053,21244702,43416755
"9","ARM","EUR",2015,"Armenia",1230.42593940864,1086.36810597168,1374.4837728456,324.55950972989,172.905480240817,476.213539218963,905.866429678749,710.874326942709,1100.85853241479,1122.59642076734,1038.47182420765,1206.72101732703,270.644750409241,139.139912467732,402.14958835075,851.951670358101,673.06659103477,1030.83674968143,107.829518641298,83.6381589588804,132.020878323716,53.914759320649,33.7655677730854,74.0639508682126,53.914759320649,37.8077359079395,70.0217827333585,287299,267474,554773,1112212,1350727,2462939,1618201,1399511,3017712
"10","ASM","WPR",2015,"American Samoa",4.6,3.9238,5.2762,4.6,4.43095,4.76905,0,0,0,4.6,4.2619,4.9381,4.6,4.43095,4.76905,0,0,0,0,0,0,0,0,0,0,0,0,8524,8013,16537,19743,19261,39004,27274,28267,55538
"11","ATG","AMR",2015,"Antigua and Barbuda",6.88704811103947,5.87465203871667,7.89944418336227,6.88704811103947,6.63394909295877,7.14014712912017,0,0,0,6.88704811103947,6.38085007487807,7.39324614720087,6.88704811103947,6.63394909295877,7.14014712912017,0,0,0,0,0,0,0,0,0,0,0,0,11126,11074,22200,32763,36855,69618,47929,43889,91818
"12","AUS","WPR",2015,"Australia",1442.1,1230.1113,1654.0887,689.70477774765,532.685012027922,846.724543467379,752.395222252349,584.559088930542,920.231355574157,1346.15272090518,1226.75535486596,1465.5500869444,639.645330705271,503.885033872363,775.405627538179,706.50739019991,554.384162573311,858.630617826509,95.9472790948188,69.1412470163859,122.753311173252,50.0594470423796,28.7999781555591,71.3189159292,45.8878320524392,30.1749263572313,61.6007377476472,2301016,2180724,4481740,9674919,9812314,19487233,11993038,11975935,23968973
"13","AUT","EUR",2015,"Austria",650.9,555.2177,746.5823,233.808269544658,156.48777402083,311.128765068486,417.091730455342,326.327071938889,507.856388971795,610.086926278055,556.900715434321,663.273137121789,203.735478595925,133.522471570408,273.948485621442,406.35144768213,319.11164447483,493.591250889429,40.8130737219453,30.122952034477,51.5031954094136,30.072790948733,22.9653024504221,37.1802794470439,10.7402827732123,7.21542746405882,14.2651380823658,620749,593235,1213984,3575572,3755030,7330602,4348265,4196321,8544586
"14","AZE","EUR",2015,"Azerbaijan",6776.48873615153,5482.40977472303,8070.56769758004,2112.92696652587,1106.73300881578,3119.12092423595,4663.56176962567,3552.68780569445,5774.43573355689,6168.36125382674,5436.49694952092,6900.22555813256,1868.31705192394,1009.12398299808,2727.51012084981,4300.04420190279,3313.52236835689,5286.5660354487,608.127482324795,438.477835141658,777.777129507931,244.609914601921,97.6090258176948,391.610803386147,363.517567722874,239.165437337558,487.869698108189,1145305,992623,2137928,3710241,3905799,7616040,4898422,4855546,9753968
