"","iso3","g_whoregion","deaths","deathslo","deathshi","deathsY","deathsYlo","deathsYhi","deathsH","deathsHlo","deathsHhi","DeathsOnTx","DeathsOnTxlo","DeathsOnTxhi","DeathsOnTxY","DeathsOnTxYlo","DeathsOnTxYhi","DeathsOffTx","DeathsOffTxlo","DeathsOffTxhi","DeathsOffTxY","DeathsOffTxYlo","DeathsOffTxYhi","HIV","HIVinTB","HIVinDeaths","HIVlo","HIVinTBlo","HIVinDeathslo","HIVhi","HIVinTBhi","HIVinDeathshi","country"
"1","ABW","AMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aruba"
"2","AFG","EMR",1052,267,2558,860,21,2519,3,0,41,67,30,170,41,12,139,974,184,2469,808,0,2450,0,1,3,0,0,0,0,10,43,"Afghanistan"
"3","AGO","AFR",3923,2067,6639,2891,628,5461,999,105,4710,0,0,0,0,0,0,2590,1127,4534,2026,472,4249,2,122,271,1,12,34,3,537,769,"Angola"
"4","AIA","AMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Anguilla"
"5","ALB","EUR",12,5,20,9,0,20,0,0,0,0,0,0,0,0,0,11,5,20,9,0,20,0,0,0,0,0,0,0,0,0,"Albania"
"6","AND","EUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Andorra"
"7","ARE","EMR",2,1,4,2,0,4,0,0,0,0,0,0,0,0,0,2,1,4,2,0,4,0,0,0,0,0,0,0,0,0,"United Arab Emirates"
"8","ARG","AMR",57,8,219,46,3,212,0,0,3,13,6,30,7,2,25,42,0,203,39,0,203,0,1,4,0,0,0,0,12,51,"Argentina"
"9","ARM","EUR",26,12,43,20,1,42,0,0,0,0,0,1,0,0,1,25,12,43,20,0,42,0,0,0,0,0,0,0,0,0,"Armenia"
"10","ASM","WPR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"American Samoa"
"11","ATG","AMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Antigua and Barbuda"
"12","AUS","WPR",16,6,33,12,0,32,0,0,0,1,0,2,0,0,2,15,5,32,12,0,31,0,0,1,0,0,0,0,3,9,"Australia"
"13","AUT","EUR",8,3,15,6,0,15,0,0,0,0,0,1,0,0,0,7,2,15,6,0,15,0,0,0,0,0,0,0,0,0,"Austria"
"14","AZE","EUR",154,69,263,136,21,258,0,0,5,2,1,4,1,0,2,151,68,259,135,20,256,0,1,2,0,0,0,0,16,36,"Azerbaijan"
"15","BDI","AFR",553,278,1017,441,79,893,115,11,634,4,1,10,2,1,9,384,159,710,318,58,698,2,97,228,1,10,26,2,507,739,"Burundi"
"16","BEL","EUR",6,1,20,5,0,19,0,0,0,1,0,2,1,0,2,5,0,19,4,0,19,0,0,0,0,0,0,0,0,0,"Belgium"
"17","BEN","AFR",215,104,389,175,27,363,24,3,192,1,1,3,0,0,2,172,71,314,145,21,302,1,52,122,1,5,12,1,375,613,"Benin"
"18","BES","AMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bonaire, Saint Eustatius and Saba"
"19","BFA","AFR",349,186,575,269,71,524,42,5,285,1,0,1,0,0,0,283,146,477,229,58,455,1,51,124,1,6,15,1,343,588,"Burkina Faso"
"20","BGD","SEA",9424,4359,16699,7520,1323,16091,6,1,77,80,37,172,17,5,62,9297,4262,16625,7488,1308,16073,0,0,1,0,0,0,0,3,9,"Bangladesh"
"21","BGR","EUR",15,3,41,14,0,41,0,0,0,1,1,4,1,0,3,14,1,40,14,0,40,0,0,0,0,0,0,0,0,0,"Bulgaria"
"22","BHR","EMR",6,3,9,5,1,9,0,0,0,0,0,0,0,0,0,6,3,9,5,1,9,0,0,0,0,0,0,0,0,0,"Bahrain"
"23","BHS","AMR",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,85,0,1,7,1,138,586,"Bahamas"
"24","BIH","EUR",21,10,38,15,1,37,0,0,0,0,0,0,0,0,0,21,9,38,15,1,37,0,0,0,0,0,0,0,0,0,"Bosnia and Herzegovina"
"25","BLR","EUR",95,50,159,76,15,152,1,0,11,0,0,0,0,0,0,93,49,154,75,15,149,0,4,8,0,0,1,0,51,113,"Belarus"
"26","BLZ","AMR",2,1,4,2,0,4,0,0,1,0,0,0,0,0,0,2,1,4,2,0,4,1,21,41,0,2,3,2,180,335,"Belize"
"27","BMU","AMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bermuda"
"28","BOL","AMR",369,168,709,303,20,696,4,0,53,5,2,12,2,1,8,354,153,687,295,19,678,0,5,11,0,0,1,0,58,131,"Bolivia (Plurinational State of)"
"29","BRA","AMR",1843,821,3099,1414,33,3020,15,2,141,29,12,75,17,5,61,1786,777,3019,1376,0,2959,0,4,8,0,0,1,0,36,73,"Brazil"
"30","BRB","AMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Barbados"
"31","BRN","WPR",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"Brunei Darussalam"
"32","BTN","SEA",32,18,52,25,6,48,0,0,0,0,0,0,0,0,0,32,18,52,25,6,48,0,0,0,0,0,0,0,0,0,"Bhutan"
"33","BWA","AFR",138,50,287,98,4,257,55,5,216,3,1,9,2,0,8,66,14,170,50,0,164,12,250,419,10,29,58,14,780,886,"Botswana"
"34","CAF","AFR",1014,533,1831,668,145,1457,429,56,1516,0,0,0,0,0,0,494,142,943,379,65,874,5,231,450,4,31,81,5,751,901,"Central African Republic"
"35","CAN","AMR",8,2,29,5,0,29,0,0,0,1,1,4,1,0,4,7,0,28,3,0,28,0,0,0,0,0,0,0,0,0,"Canada"
"36","CHE","EUR",4,1,12,3,0,12,0,0,0,0,0,1,0,0,1,3,0,11,2,0,11,0,0,0,0,0,0,0,0,0,"Switzerland"
"37","CHL","AMR",58,28,100,45,1,98,0,0,0,1,0,2,0,0,2,58,27,99,45,0,97,0,0,0,0,0,0,0,0,0,"Chile"
"38","CHN","WPR",21831,12728,34653,17353,4421,33567,0,0,0,37,17,84,5,1,18,21782,12700,34627,17349,4414,33559,0,0,0,0,0,0,0,0,0,"China"
"39","CIV","AFR",1426,676,2691,1119,162,2451,448,54,1914,9,3,21,4,1,13,877,290,1662,735,94,1590,3,158,337,3,18,47,4,657,832,"Côte d'Ivoire"
"40","CMR","AFR",2654,1404,4824,1842,446,3933,1080,148,3931,0,0,0,0,0,0,1402,511,2602,1085,212,2340,4,215,425,3,29,75,4,686,874,"Cameroon"
"41","COD","AFR",11292,5936,19640,8904,1822,16993,1833,183,11373,25,10,61,3,1,11,8567,3813,15021,7099,1556,13967,1,75,176,1,8,21,1,460,692,"Democratic Republic of the Congo"
"42","COG","AFR",565,227,1186,427,20,1120,193,22,917,8,3,20,4,1,17,302,87,700,257,0,687,3,174,376,3,19,54,3,655,848,"Congo"
"43","COK","WPR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook Islands"
"44","COL","AMR",258,107,503,200,4,480,4,0,37,7,3,17,4,1,15,242,96,475,191,0,462,0,5,16,0,0,2,0,50,133,"Colombia"
"45","COM","AFR",11,6,17,9,2,16,0,0,0,0,0,0,0,0,0,11,6,17,9,2,16,0,0,0,0,0,0,0,0,0,"Comoros"
"46","CPV","AFR",24,13,41,18,4,38,0,0,0,0,0,0,0,0,0,24,13,41,18,4,38,0,0,0,0,0,0,0,0,0,"Cabo Verde"
"47","CRI","AMR",9,4,16,7,0,16,0,0,1,0,0,0,0,0,0,8,3,16,7,0,15,0,4,10,0,0,1,0,34,92,"Costa Rica"
"48","CUB","AMR",11,5,20,7,0,19,0,0,0,0,0,1,0,0,1,11,5,20,7,0,19,0,1,2,0,0,0,0,6,16,"Cuba"
"49","CUW","AMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Curaçao"
"50","CYM","AMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cayman Islands"
"51","CYP","EUR",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,"Cyprus"
"52","CZE","EUR",9,5,15,7,0,14,0,0,0,0,0,0,0,0,0,9,4,15,7,0,14,0,0,0,0,0,0,0,0,0,"Czech Republic"
