"","iso3","HIV","HIVinTB","HIVinDeaths"
"1","AGO",2,110,237
"2","BDI",2,99,217
"3","BEN",1,49,109
"4","BFA",1,51,119
"5","BHS",1,15,107
"6","BLZ",1,20,37
"7","BWA",12,242,410
"8","CAF",5,238,446
"9","CIV",3,162,328
"10","CMR",4,211,409
"11","COD",1,70,160
"12","COG",3,180,374
"13","DJI",2,125,266
"14","DOM",1,28,68
"15","ERI",1,31,76
"16","ETH",1,85,285
"17","GAB",4,157,312
"18","GHA",2,98,219
"19","GIN",1,78,178
"20","GMB",2,106,228
"21","GNB",4,222,431
"22","GNQ",7,345,587
"23","GUY",1,27,48
"24","HTI",3,134,356
"25","KEN",5,132,256
"26","KHM",1,26,77
"27","LBR",2,128,279
"28","LSO",17,434,650
"29","MLI",1,83,186
"30","MMR",1,19,148
"31","MOZ",9,226,383
"32","MRT",1,50,122
"33","MWI",11,308,517
"34","NAM",11,225,433
"35","NER",1,39,98
"36","NGA",3,153,319
"37","PNG",1,63,146
"38","RWA",2,68,129
"39","SEN",1,44,104
"40","SLE",2,101,229
"41","SOM",1,45,134
"42","SSD",3,168,700
"43","SWZ",21,403,642
"44","TCD",3,146,315
"45","TGO",3,139,279
"46","TZA",4,139,283
"47","UGA",5,171,335
"48","ZAF",15,345,693
"49","ZMB",11,326,531
"50","ZWE",12,262,429
