"","iso3","age","aget","ageb","pcgs","cpcgs"
"1","IND",60118.0263182606,76763.3903780827,46292.2514349746,26,26
"2","NGA",25358.7347982913,31156.7139967503,20496.6693093768,11,37
"3","CHN",22065.0211829073,26121.8004097498,18119.0227572682,10,47
"4","IDN",14969.4518666569,19690.0429032938,10877.2749638893,6,53
"5","COD",11123.0035607736,13454.202426951,9077.51054606693,5,58
"6","BGD",9483.30297799462,11874.0723793606,7369.83658792981,4,62
"7","PAK",6880.57320519847,10163.8856065425,3965.05748944794,3,65
"8","MOZ",5833.32275427592,7063.81288308355,4759.34073924425,3,67
"9","TZA",4930.1547223338,6303.60308179048,3773.51482898732,2,70
"10","ZAF",4739.09709625686,7013.33897281286,3016.36403725726,2,72
