"","iso3","age","aget","ageb","pcgs","cpcgs"
"1","IND",49196.3648231359,68433.1815975025,31274.8197648683,24,24
"2","NGA",25250.6381718415,30894.8117874786,20486.1758781896,12,36
"3","CHN",21790.0180403647,25876.8970501225,17822.1056244816,10,46
"4","COD",11107.6516003056,13530.6260021672,9021.96385527857,5,51
"5","BGD",9338.37448375444,11789.5481578621,7220.32085135612,4,56
"6","IDN",6577.61915827934,11063.0154989546,3788.15538957406,3,59
"7","MOZ",5799.12265352437,7037.21166897005,4765.08807807732,3,62
"8","TZA",4940.27703689735,6292.48247834598,3808.74286404783,2,64
"9","ZAF",4739.38192942886,7046.92277256048,3038.05095595505,2,66
"10","PAK",4731.82870487234,8238.19962395366,1845.73919495081,2,69
